Date,Code,Next_Ret,Next_Ret_Rank,Above_Quarter_Median,model,model_label,prediction,predicted_rank,portfolio,turnover
2022-03-31,002365,0.2283,0.397232734153264,1,ridge,Ridge回归,0.13358632633557077,19,strict_top30,0.9
2022-03-31,603586,0.1515,0.32852412488174076,1,ridge,Ridge回归,0.13322009772910376,20,strict_top30,0.9
2022-03-31,603329,0.272,0.42395931882686855,1,ridge,Ridge回归,0.132682438520398,21,strict_top30,0.9
2022-03-31,603803,0.0747,0.21546830652790916,1,ridge,Ridge回归,0.13254466522736624,22,strict_top30,0.9
2022-03-31,002635,0.3417,0.4508041627246925,1,ridge,Ridge回归,0.13213426890775193,23,strict_top30,0.9
2022-03-31,603928,0.1765,0.35501419110690635,1,ridge,Ridge回归,0.1316932012649371,24,strict_top30,0.9
2022-03-31,600232,-0.0232,-0.010052034058656567,0,ridge,Ridge回归,0.1303827947932651,25,strict_top30,0.9
2022-03-31,002358,0.0066,0.06918164616840117,1,ridge,Ridge回归,0.12799364446461844,26,strict_top30,0.9
2022-03-31,300836,0.0404,0.14569536423841056,1,ridge,Ridge回归,0.12796756167935358,27,strict_top30,0.9
2022-03-31,600428,0.0697,0.2065988647114475,1,ridge,Ridge回归,0.12710898764838222,28,strict_top30,0.9
2022-03-31,600758,0.0864,0.23663670766319778,1,ridge,Ridge回归,0.12693982638913928,29,strict_top30,0.9
2022-03-31,002404,0.0,0.0535714285714286,1,ridge,Ridge回归,0.12644875108484413,30,strict_top30,0.9
2022-06-30,300105,0.0191,0.33599249178789303,1,ridge,Ridge回归,0.16129524793844396,1,strict_top30,0.5666666666666667
2022-06-30,000806,-0.0622,0.18242609103707175,1,ridge,Ridge回归,0.15583020530136732,2,strict_top30,0.5666666666666667
2022-06-30,002696,0.0136,0.32895354293758794,1,ridge,Ridge回归,0.15197482219287275,3,strict_top30,0.5666666666666667
2022-06-30,600287,-0.0241,0.26888784608165184,1,ridge,Ridge回归,0.1462095371862244,4,strict_top30,0.5666666666666667
2022-06-30,603586,0.0372,0.3568747067104646,1,ridge,Ridge回归,0.14580031629896356,5,strict_top30,0.5666666666666667
2022-06-30,600387,0.2605,0.4667996245893946,1,ridge,Ridge回归,0.14442990847862278,6,strict_top30,0.5666666666666667
2022-06-30,002193,0.0388,0.35910370717972784,1,ridge,Ridge回归,0.1441301428260137,7,strict_top30,0.5666666666666667
2022-06-30,002358,0.0262,0.3413890192397935,1,ridge,Ridge回归,0.14246100461329678,8,strict_top30,0.5666666666666667
2022-06-30,002478,0.1623,0.43829188174565936,1,ridge,Ridge回归,0.1399281068897155,9,strict_top30,0.5666666666666667
2022-06-30,603086,0.4536,0.48686062881276393,1,ridge,Ridge回归,0.13969758663691112,10,strict_top30,0.5666666666666667
2022-06-30,002699,-0.0579,0.1952135147817926,1,ridge,Ridge回归,0.13921590014104585,11,strict_top30,0.5666666666666667
2022-06-30,603003,-0.1089,0.033317691224777124,1,ridge,Ridge回归,0.13821023384164258,12,strict_top30,0.5666666666666667
2022-06-30,600780,0.019,0.335523228531206,1,ridge,Ridge回归,0.13717597778707466,13,strict_top30,0.5666666666666667
2022-06-30,300533,-0.0053,0.3019709056780854,1,ridge,Ridge回归,0.13624167042366575,14,strict_top30,0.5666666666666667
2022-06-30,600565,-0.0345,0.2450727358047865,1,ridge,Ridge回归,0.13188654778196834,15,strict_top30,0.5666666666666667
2022-06-30,000726,0.0406,0.3606288127639605,1,ridge,Ridge回归,0.1318368994357585,16,strict_top30,0.5666666666666667
2022-06-30,605088,0.1231,0.42257156264664475,1,ridge,Ridge回归,0.13158443594231164,17,strict_top30,0.5666666666666667
2022-06-30,002871,0.264,0.4682074143594557,1,ridge,Ridge回归,0.1302842351244944,18,strict_top30,0.5666666666666667
2022-06-30,000543,0.1228,0.42221961520412954,1,ridge,Ridge回归,0.1302208265826906,19,strict_top30,0.5666666666666667
2022-06-30,600232,-0.086,0.11520412951665882,1,ridge,Ridge回归,0.12958062342112608,20,strict_top30,0.5666666666666667
2022-06-30,003042,-0.1478,-0.11274049741905207,0,ridge,Ridge回归,0.1295606679816706,21,strict_top30,0.5666666666666667
2022-06-30,300495,0.2984,0.4736039418113561,1,ridge,Ridge回归,0.12824750282860486,22,strict_top30,0.5666666666666667
2022-06-30,603329,0.038,0.3578132332238386,1,ridge,Ridge回归,0.1281972897586133,23,strict_top30,0.5666666666666667
2022-06-30,002661,-0.015,0.2866025340215861,1,ridge,Ridge回归,0.1280765059625394,24,strict_top30,0.5666666666666667
2022-06-30,000038,0.0313,0.34866259971844205,1,ridge,Ridge回归,0.12704675983451955,25,strict_top30,0.5666666666666667
2022-06-30,002856,0.0499,0.3700140778977006,1,ridge,Ridge回归,0.12697247649835822,26,strict_top30,0.5666666666666667
2022-06-30,603585,-0.0396,0.23533552322853124,1,ridge,Ridge回归,0.12684195372774432,27,strict_top30,0.5666666666666667
2022-06-30,002869,0.2487,0.46292820272172686,1,ridge,Ridge回归,0.12542797708549525,28,strict_top30,0.5666666666666667
2022-06-30,000616,0.0267,0.34185828249648054,1,ridge,Ridge回归,0.12521759382323994,29,strict_top30,0.5666666666666667
2022-06-30,000159,0.1672,0.43946503988737684,1,ridge,Ridge回归,0.12504285593816467,30,strict_top30,0.5666666666666667
2021-12-31,000573,0.3774,0.47184279894560266,1,logistic_regression,逻辑回归,0.7181830803575406,1,strict_top30,1.0
2021-12-31,000637,0.0725,0.34902947519769945,1,logistic_regression,逻辑回归,0.709969727566834,2,strict_top30,1.0
2021-12-31,002774,0.1905,0.42978672417924757,1,logistic_regression,逻辑回归,0.7070115389123185,3,strict_top30,1.0
2021-12-31,002615,-0.0358,0.19027078840162948,1,logistic_regression,逻辑回归,0.6959598676093764,4,strict_top30,1.0
2021-12-31,603095,0.0123,0.27258566978193144,1,logistic_regression,逻辑回归,0.6941071327906568,5,strict_top30,1.0
2021-12-31,002160,-0.0799,0.09621375509225971,1,logistic_regression,逻辑回归,0.6929405781458611,6,strict_top30,1.0
2021-12-31,601518,0.0185,0.2821710999281093,1,logistic_regression,逻辑回归,0.6921855412445785,7,strict_top30,1.0
2021-12-31,002188,0.6538,0.49065420560747663,1,logistic_regression,逻辑回归,0.6920737124383639,8,strict_top30,1.0
2021-12-31,600569,0.0535,0.3271028037383178,1,logistic_regression,逻辑回归,0.6884141264966747,9,strict_top30,1.0
2021-12-31,000965,2.2885,0.49904145698538227,1,logistic_regression,逻辑回归,0.688362642244895,10,strict_top30,1.0
2021-12-31,300609,-0.0201,0.22166307213036185,1,logistic_regression,逻辑回归,0.687569152913403,11,strict_top30,1.0
2021-12-31,000761,0.0262,0.29319434459621374,1,logistic_regression,逻辑回归,0.6871967131392189,12,strict_top30,1.0
2021-12-31,002574,0.0366,0.3058950395398994,1,logistic_regression,逻辑回归,0.6861012371420699,13,strict_top30,1.0
2021-12-31,002722,-0.0544,0.15132997843278218,1,logistic_regression,逻辑回归,0.6848789126035386,14,strict_top30,1.0
2021-12-31,300240,-0.1233,-0.0088665228852145,0,logistic_regression,逻辑回归,0.6832560013521752,15,strict_top30,1.0
2021-12-31,603196,-0.0501,0.16187395159357776,1,logistic_regression,逻辑回归,0.6832225976696888,16,strict_top30,1.0
2021-12-31,000726,-0.0093,0.24047447879223582,1,logistic_regression,逻辑回归,0.6825592333610877,17,strict_top30,1.0
2021-12-31,002345,-0.147,-0.07320872274143303,0,logistic_regression,逻辑回归,0.6824392723074911,18,strict_top30,1.0
2021-12-31,002910,0.1536,0.4103762281332375,1,logistic_regression,逻辑回归,0.6818947073194735,19,strict_top30,1.0
2021-12-31,000822,0.023,0.28888090103043373,1,logistic_regression,逻辑回归,0.6815936548086788,20,strict_top30,1.0
2021-12-31,300154,0.0355,0.3048166786484543,1,logistic_regression,逻辑回归,0.6811790077633649,21,strict_top30,1.0
