model,model_label,fpr,tpr,threshold,auc
logistic_regression,逻辑回归,0.8178294573643411,0.7902621722846442,0.45209641858865934,0.5086519757280143
logistic_regression,逻辑回归,0.8178294573643411,0.8014981273408239,0.44951522188048576,0.5086519757280143
logistic_regression,逻辑回归,0.8217054263565892,0.8014981273408239,0.4494336589495103,0.5086519757280143
logistic_regression,逻辑回归,0.8217054263565892,0.8089887640449438,0.44647395924012795,0.5086519757280143
logistic_regression,逻辑回归,0.8255813953488372,0.8089887640449438,0.44574767604727306,0.5086519757280143
logistic_regression,逻辑回归,0.8255813953488372,0.8164794007490637,0.4444934720483801,0.5086519757280143
logistic_regression,逻辑回归,0.8294573643410853,0.8164794007490637,0.44382966740592505,0.5086519757280143
logistic_regression,逻辑回归,0.8294573643410853,0.8202247191011236,0.44359709515568346,0.5086519757280143
logistic_regression,逻辑回归,0.8333333333333334,0.8202247191011236,0.443371163454125,0.5086519757280143
logistic_regression,逻辑回归,0.8333333333333334,0.8239700374531835,0.44308736512827696,0.5086519757280143
logistic_regression,逻辑回归,0.8410852713178295,0.8239700374531835,0.44163629273822774,0.5086519757280143
logistic_regression,逻辑回归,0.8410852713178295,0.8389513108614233,0.44019337521725954,0.5086519757280143
logistic_regression,逻辑回归,0.8449612403100775,0.8389513108614233,0.43864472836784424,0.5086519757280143
logistic_regression,逻辑回归,0.8449612403100775,0.8426966292134831,0.43853658088482095,0.5086519757280143
logistic_regression,逻辑回归,0.8527131782945736,0.8426966292134831,0.4374641289610757,0.5086519757280143
logistic_regression,逻辑回归,0.8527131782945736,0.850187265917603,0.43687605972056404,0.5086519757280143
logistic_regression,逻辑回归,0.8643410852713178,0.850187265917603,0.43218122394983133,0.5086519757280143
logistic_regression,逻辑回归,0.8643410852713178,0.8539325842696629,0.4314753068598048,0.5086519757280143
logistic_regression,逻辑回归,0.872093023255814,0.8539325842696629,0.4312422591319941,0.5086519757280143
logistic_regression,逻辑回归,0.872093023255814,0.8614232209737828,0.4310028966715799,0.5086519757280143
logistic_regression,逻辑回归,0.8798449612403101,0.8614232209737828,0.42983407832190923,0.5086519757280143
logistic_regression,逻辑回归,0.8798449612403101,0.8689138576779026,0.4293087792242291,0.5086519757280143
logistic_regression,逻辑回归,0.8837209302325582,0.8689138576779026,0.4290000615145332,0.5086519757280143
logistic_regression,逻辑回归,0.8837209302325582,0.8726591760299626,0.42690004737501425,0.5086519757280143
logistic_regression,逻辑回归,0.8875968992248062,0.8726591760299626,0.42652727467114426,0.5086519757280143
logistic_regression,逻辑回归,0.8875968992248062,0.8764044943820225,0.4261569225879038,0.5086519757280143
