model,fpr,tpr
逻辑回归,0.038600723763570564,0.04540379605508001
逻辑回归,0.03894537308288816,0.04540379605508001
逻辑回归,0.03894537308288816,0.04577595831782657
逻辑回归,0.03963467172152335,0.04577595831782657
逻辑回归,0.03963467172152335,0.04614812058057313
逻辑回归,0.039806996381182146,0.04614812058057313
逻辑回归,0.039806996381182146,0.04652028284331969
逻辑回归,0.04084094433913493,0.04652028284331969
逻辑回归,0.04084094433913493,0.0472646073688128
逻辑回归,0.0423918662760641,0.0472646073688128
逻辑回归,0.0423918662760641,0.04763676963155936
逻辑回归,0.04497673617094606,0.04763676963155936
逻辑回归,0.04497673617094606,0.04800893189430592
逻辑回归,0.046010684128898846,0.04800893189430592
逻辑回归,0.046010684128898846,0.048381094157052475
逻辑回归,0.04618300878855764,0.048381094157052475
逻辑回归,0.04618300878855764,0.04875325641979903
逻辑回归,0.04756160606582802,0.04875325641979903
逻辑回归,0.04756160606582802,0.04912541868254559
逻辑回归,0.04825090470446321,0.04912541868254559
逻辑回归,0.04825090470446321,0.049869743208038705
逻辑回归,0.0487678786834396,0.049869743208038705
逻辑回归,0.0487678786834396,0.05024190547078526
逻辑回归,0.049284852662415994,0.05024190547078526
逻辑回归,0.049284852662415994,0.051358392259024936
逻辑回归,0.04945717732207479,0.051358392259024936
逻辑回归,0.04945717732207479,0.05173055452177149
逻辑回归,0.050318800620368774,0.05173055452177149
逻辑回归,0.050318800620368774,0.05210271678451805
逻辑回归,0.05135274857832156,0.05210271678451805
逻辑回归,0.05135274857832156,0.052474879047264604
逻辑回归,0.052731345855591936,0.052474879047264604
逻辑回归,0.052731345855591936,0.05284704131001117
逻辑回归,0.05359296915388592,0.05284704131001117
逻辑回归,0.05359296915388592,0.05321920357275772
逻辑回归,0.05393761847320352,0.05321920357275772
逻辑回归,0.05393761847320352,0.05359136583550428
逻辑回归,0.05445459245217991,0.05359136583550428
逻辑回归,0.05445459245217991,0.053963528098250835
逻辑回归,0.0549715664311563,0.053963528098250835
逻辑回归,0.0549715664311563,0.0543356903609974
逻辑回归,0.05566086506979149,0.0543356903609974
逻辑回归,0.05566086506979149,0.054707852623743954
逻辑回归,0.056522488368085474,0.054707852623743954
逻辑回归,0.056522488368085474,0.055452177149237065
逻辑回归,0.05669481302774427,0.055452177149237065
逻辑回归,0.05669481302774427,0.05582433941198362
逻辑回归,0.057556436326038254,0.05582433941198362
逻辑回归,0.057556436326038254,0.056196501674730184
逻辑回归,0.057728760985697056,0.056196501674730184
逻辑回归,0.057728760985697056,0.05656866393747674
逻辑回归,0.058245734964673446,0.05656866393747674
逻辑回归,0.058245734964673446,0.056940826200223296
逻辑回归,0.05841805962433224,0.056940826200223296
逻辑回归,0.05841805962433224,0.05731298846296985
逻辑回归,0.058762708943649836,0.05731298846296985
逻辑回归,0.058762708943649836,0.057685150725716415
逻辑回归,0.05910735826296743,0.057685150725716415
逻辑回归,0.05910735826296743,0.05842947525120953
逻辑回归,0.06014130622092021,0.05842947525120953
逻辑回归,0.06014130622092021,0.05880163751395608
逻辑回归,0.06048595554023781,0.05880163751395608
逻辑回归,0.06048595554023781,0.059173799776702646
逻辑回归,0.06065828019989661,0.059173799776702646
逻辑回归,0.06065828019989661,0.05991812430219576
逻辑回归,0.0610029295192142,0.05991812430219576
逻辑回归,0.0610029295192142,0.06066244882768887
逻辑回归,0.06255385145614338,0.06066244882768887
逻辑回归,0.06255385145614338,0.06103461109043543
逻辑回归,0.06272617611580217,0.06103461109043543
逻辑回归,0.06272617611580217,0.06140677335318199
逻辑回归,0.06324315009477856,0.06140677335318199
逻辑回归,0.06324315009477856,0.061778935615928544
逻辑回归,0.06341547475443736,0.061778935615928544
逻辑回归,0.06341547475443736,0.06252326014142166
逻辑回归,0.06358779941409616,0.06252326014142166
逻辑回归,0.06358779941409616,0.06289542240416822
逻辑回归,0.06376012407375495,0.06289542240416822
逻辑回归,0.06376012407375495,0.06326758466691478
逻辑回归,0.06479407203170774,0.06326758466691478
逻辑回归,0.06479407203170774,0.06401190919240789
逻辑回归,0.06496639669136653,0.06401190919240789
逻辑回归,0.06496639669136653,0.06438407145515444
逻辑回归,0.06513872135102533,0.06438407145515444
逻辑回归,0.06513872135102533,0.064756233717901
逻辑回归,0.06582801998966052,0.064756233717901
逻辑回归,0.06582801998966052,0.06550055824339412
逻辑回归,0.06617266930897811,0.06550055824339412
逻辑回归,0.06617266930897811,0.06587272050614068
逻辑回归,0.06634499396863691,0.06587272050614068
逻辑回归,0.06634499396863691,0.06661704503163379
逻辑回归,0.0666896432879545,0.06661704503163379
逻辑回归,0.0666896432879545,0.06698920729438035
逻辑回归,0.0670342926072721,0.06698920729438035
逻辑回归,0.0670342926072721,0.0673613695571269
逻辑回归,0.06858521454420127,0.0673613695571269
逻辑回归,0.06858521454420127,0.06810569408262002
逻辑回归,0.06927451318283646,0.06810569408262002
逻辑回归,0.06927451318283646,0.06847785634536659
逻辑回归,0.06944683784249527,0.06847785634536659
逻辑回归,0.06944683784249527,0.06885001860811314
逻辑回归,0.06961916250215405,0.06885001860811314
逻辑回归,0.06961916250215405,0.0692221808708597
逻辑回归,0.07030846114078924,0.0692221808708597
逻辑回归,0.07030846114078924,0.06959434313360625
