model,model_label,fpr,tpr,threshold
random_forest,随机森林,0.75,0.7741935483870968,0.40159973460126985
random_forest,随机森林,0.75,0.7903225806451613,0.4004581697693257
random_forest,随机森林,0.8181818181818182,0.7903225806451613,0.39358830919811616
random_forest,随机森林,0.8181818181818182,0.8387096774193549,0.3846129102424398
random_forest,随机森林,0.8409090909090909,0.8387096774193549,0.3841210665575513
random_forest,随机森林,0.8409090909090909,0.8548387096774194,0.3816309782657212
random_forest,随机森林,0.9318181818181818,0.8548387096774194,0.36788074359271045
random_forest,随机森林,0.9318181818181818,0.967741935483871,0.34490953941224073
random_forest,随机森林,0.9545454545454546,0.967741935483871,0.3362321835975904
random_forest,随机森林,0.9545454545454546,1.0,0.31427196245699635
random_forest,随机森林,1.0,1.0,0.2972141108282905
